,ECC_PLOT,NULL_DIFF,NULL_SEM_LOW,NULL_SEM_HIGH
0,-6.0,-0.03519999999999999,-0.0940255745823157,0.02362557458231572
1,2.0,-0.019199999999999988,-0.07701274232592367,0.0386127423259237
2,1.0,0.01600000000000002,-0.050899184757164116,0.08289918475716415
3,-3.0,-0.01920000000000003,-0.08063256849757783,0.04223256849757777
4,0.0,-0.016000000000000004,-0.09373713499688023,0.06173713499688023
5,6.0,-0.004800000000000004,-0.05921181941095708,0.04961181941095707
6,5.0,0.041599999999999984,-0.032314083115882325,0.1155140831158823
7,-4.0,0.04959999999999999,-0.008047461531814196,0.10724746153181418
8,4.0,0.012799999999999995,-0.049111452874710984,0.07471145287471098
9,-5.0,0.02879999999999999,-0.04768798045054952,0.1052879804505495
10,-2.0,0.032,-0.013717410780430941,0.07771741078043094
11,-1.0,-0.0208,-0.10295871830424215,0.06135871830424215
12,3.0,-0.0272,-0.08394182293326652,0.02954182293326652
13,-6.0,0.044799999999999986,-0.02970187832132997,0.11930187832132993
14,2.0,-0.028799999999999982,-0.09909708387903723,0.04149708387903728
15,1.0,-0.054399999999999976,-0.12345151954851183,0.014651519548511877
16,-3.0,-0.003199999999999992,-0.0676641571405586,0.061264157140558606
17,0.0,0.0544,-0.018648403963745487,0.1274484039637455
18,6.0,-0.023999999999999994,-0.09936291990707553,0.05136291990707555
19,5.0,4.440892098500626e-18,-0.07596343075500873,0.07596343075500873
20,-4.0,0.027200000000000005,-0.04083063835233651,0.09523063835233651
21,4.0,-0.025599999999999967,-0.11513673111409031,0.06393673111409037
22,-5.0,0.04800000000000001,-0.020077374161221538,0.11607737416122155
23,-2.0,0.0352,-0.04051179633126995,0.11091179633126996
24,-1.0,0.007999999999999997,-0.06553196822789466,0.08153196822789464
25,3.0,0.014400000000000001,-0.06094483063532468,0.08974483063532468
26,-6.0,0.006400000000000032,-0.06128916062339322,0.07408916062339328
27,2.0,-0.0063999999999999994,-0.0763991312012304,0.0635991312012304
28,1.0,-0.003200000000000007,-0.07989561098072301,0.07349561098072299
29,-3.0,0.02240000000000001,-0.03501052069539849,0.07981052069539851
30,0.0,0.0544,-0.023756834636720674,0.13255683463672066
31,6.0,0.004799999999999998,-0.06908949017455411,0.07868949017455411
32,5.0,-0.025600000000000022,-0.11230077326799305,0.061100773267993
33,-4.0,0.0047999999999999736,-0.0579497576049573,0.06754975760495724
34,4.0,0.01919999999999998,-0.05663172638637373,0.0950317263863737
35,-5.0,0.01920000000000001,-0.0706204607151473,0.10902046071514732
36,-2.0,0.0063999999999999994,-0.06327382443465913,0.07607382443465914
37,-1.0,-0.014399999999999984,-0.07955820700296969,0.05075820700296972
38,3.0,0.03680000000000002,-0.028365179896884772,0.1019651798968848
39,-6.0,-0.04800000000000001,-0.1254443387210958,0.029444338721095788
40,2.0,0.009599999999999987,-0.05835713142827487,0.07755713142827483
41,1.0,-0.022400000000000003,-0.08724365071480802,0.04244365071480802
42,-3.0,-0.025599999999999998,-0.1015454845176228,0.0503454845176228
43,0.0,-0.009600000000000004,-0.0670500786968505,0.0478500786968505
44,6.0,-0.07519999999999999,-0.15030927365217278,-9.072634782718303e-05
45,5.0,-0.0352,-0.11889288927870664,0.04849288927870663
46,-4.0,0.030400000000000014,-0.03871728917914523,0.09951728917914525
47,4.0,-0.012800000000000023,-0.07862423664871888,0.053024236648718845
48,-5.0,-0.006399999999999997,-0.0820157153327507,0.0692157153327507
49,-2.0,-0.04480000000000001,-0.11124257621451925,0.021642576214519225
50,-1.0,0.040000000000000015,-0.03918487826220351,0.11918487826220353
51,3.0,-0.02079999999999999,-0.10419376177199915,0.06259376177199918
52,-6.0,0.0576,0.005369636064596006,0.10983036393540399
53,2.0,-0.0608,-0.14240381043949535,0.020803810439495356
54,1.0,4.440892098500626e-18,-0.07149554340816114,0.07149554340816114
55,-3.0,0.019199999999999984,-0.04073508356470476,0.07913508356470474
56,0.0,0.044799999999999986,-0.03585170539107566,0.12545170539107564
57,6.0,-0.017599999999999994,-0.07237800892946844,0.037178008929468445
